isInbound,hachimanArr,hachimanDep,shinjukuArr,shinjukuDep,ueharaArr,ueharaDep,actualClose,actualOpen,closedDuration,outboundAfterShinjukuDepClose,outboundAfterShinjukuDepOpen,outboundBeforeUeharaArrClose,outboundBeforeUeharaArrOpen,outboundBeforeHachimanArrClose,outboundBeforeHachimanDepClose,outboundAfterHachimanDepOpen,inboundBeforeShinjukuArrClose,inboundBeforeShinjukuArrOpen,inboundAfterUeharaDepClose,inboundAfterUeharaDepOpen,inboundBeforeHachimanArrClose,inboundBeforeHachimanDepClose,inboundAfterHachimanArrOpen,inboundBeforeHachimanDepOpen
0,16:10,16:11,,16:05,16:12,16:13,16:10:38,16:12:07,00:01:29,,,82,-7,-38,22,67,,,,,,,,
1,,,16:15,,16:10,16:10,16:10:58,16:12:01,00:01:03,,,,,,,,242,179,58,121,,,,
1,,,16:17,,16:12,16:13,16:13:33,16:14:40,00:01:07,,,,,,,,207,140,33,100,,,,
0,,,,16:10,16:15,16:16,16:13:25,16:14:31,00:01:06,205,271,95,29,,,,,,,,,,,
0,,,,16:13,16:17,16:18,16:15:44,16:16:56,00:01:12,164,236,76,4,,,,,,,,,,,
1,16:17,16:18,16:23,,16:15,16:16,16:17:23,16:18:26,00:01:03,,,,,,,,,,83,146,-23,37,86,26
0,16:20,16:20,,16:15,16:22,16:22,16:19:45,16:21:07,00:01:22,,,135,53,15,15,67,,,,,,,,
1,,,16:25,,16:20,16:20,16:20:48,,,,,,,,,,252,,48,,,,,
1,,,16:27,,,,,16:23:00,,,,,,,,,,240,,,,,,
0,,,,16:20,,,16:22:43,16:23:49,00:01:06,163,229,,,,,,,,,,,,,
0,,,,16:21,16:26,16:27,16:24:19,16:25:28,00:01:09,199,268,101,32,,,,,,,,,,,
1,,,16:29,,16:23,16:24,16:25:06,16:26:12,00:01:06,,,,,,,,234,168,66,132,,,,
0,,,,16:23,16:28,16:29,16:26:07,16:27:11,00:01:04,187,251,113,49,,,,,,,,,,,
1,16:28,16:28,16:34,,16:26,16:26,16:26:59,16:28:06,00:01:07,,,,,,,,,,59,126,61,61,6,6
0,16:30,16:30,,16:24,16:32,16:32,16:29:40,16:31:10,00:01:30,,,140,50,20,20,70,,,,,,,,
1,,,16:35,,16:29,16:30,16:30:54,16:31:57,00:01:03,,,,,,,,246,183,54,117,,,,
0,,,,16:29,16:34,16:35,16:32:20,16:33:35,00:01:15,200,275,100,25,,,,,,,,,,,
1,,,16:39,,16:32,16:33,16:34:26,16:35:32,00:01:06,,,,,,,,274,208,86,152,,,,
0,16:37,16:38,,16:32,16:39,16:40,16:36:50,16:38:32,00:01:42,,,130,28,10,70,32,,,,,,,,
1,16:37,16:38,16:43,,16:35,16:36,16:36:53,16:38:06,00:01:13,,,,,,,,,,53,126,7,67,66,6
0,,,,16:37,16:41,16:42,16:39:27,16:40:32,00:01:05,147,212,93,28,,,,,,,,,,,
1,,,16:45,,16:40,16:40,16:40:47,,,,,,,,,,253,,47,,,,,
1,,,16:47,,,,,16:43:17,,,,,,,,,,223,,,,,,
0,,,,16:40,,,16:42:42,16:43:41,00:00:59,162,221,,,,,,,,,,,,,
0,,,,16:41,16:46,16:46,16:44:28,16:45:40,00:01:12,208,280,92,20,,,,,,,,,,,
